@N: MF916 |Option synthesis_strategy=base is enabled. 
@N: MF248 |Running in 64-bit mode.
@N: MF666 |Clock conversion enabled. (Command "set_option -fix_gated_and_generated_clocks 1" in the project file.)
@N: MO111 :"c:\ecad\fpga_designs\lattice_propel_workspace\bhasa_fw\bhasa_zero\bhasa_zero\lib\latticesemi.com\ip\gpio0\1.6.1\rtl\gpio0.v":532:11:532:22|Tristate driver lmmi_ready_o (in view: work.gpio0_ipgen_lscc_gpio_Z7_layer2(verilog)) on net lmmi_ready_o (in view: work.gpio0_ipgen_lscc_gpio_Z7_layer2(verilog)) has its enable tied to GND.
@N: MO111 :"c:\ecad\fpga_designs\lattice_propel_workspace\bhasa_fw\bhasa_zero\bhasa_zero\lib\latticesemi.com\ip\gpio0\1.6.1\rtl\gpio0.v":531:11:531:28|Tristate driver lmmi_rdata_valid_o (in view: work.gpio0_ipgen_lscc_gpio_Z7_layer2(verilog)) on net lmmi_rdata_valid_o (in view: work.gpio0_ipgen_lscc_gpio_Z7_layer2(verilog)) has its enable tied to GND.
@N: MO111 :"c:\ecad\fpga_designs\lattice_propel_workspace\bhasa_fw\bhasa_zero\bhasa_zero\lib\latticesemi.com\ip\gpio0\1.6.1\rtl\gpio0.v":530:36:530:47|Tristate driver lmmi_rdata_o_1 (in view: work.gpio0_ipgen_lscc_gpio_Z7_layer2(verilog)) on net lmmi_rdata_o_1 (in view: work.gpio0_ipgen_lscc_gpio_Z7_layer2(verilog)) has its enable tied to GND.
@N: MO111 :"c:\ecad\fpga_designs\lattice_propel_workspace\bhasa_fw\bhasa_zero\bhasa_zero\lib\latticesemi.com\ip\gpio0\1.6.1\rtl\gpio0.v":530:36:530:47|Tristate driver lmmi_rdata_o_2 (in view: work.gpio0_ipgen_lscc_gpio_Z7_layer2(verilog)) on net lmmi_rdata_o_2 (in view: work.gpio0_ipgen_lscc_gpio_Z7_layer2(verilog)) has its enable tied to GND.
@N: MO111 :"c:\ecad\fpga_designs\lattice_propel_workspace\bhasa_fw\bhasa_zero\bhasa_zero\lib\latticesemi.com\ip\gpio0\1.6.1\rtl\gpio0.v":530:36:530:47|Tristate driver lmmi_rdata_o_3 (in view: work.gpio0_ipgen_lscc_gpio_Z7_layer2(verilog)) on net lmmi_rdata_o_3 (in view: work.gpio0_ipgen_lscc_gpio_Z7_layer2(verilog)) has its enable tied to GND.
@N: MO111 :"c:\ecad\fpga_designs\lattice_propel_workspace\bhasa_fw\bhasa_zero\bhasa_zero\lib\latticesemi.com\ip\gpio0\1.6.1\rtl\gpio0.v":530:36:530:47|Tristate driver lmmi_rdata_o_4 (in view: work.gpio0_ipgen_lscc_gpio_Z7_layer2(verilog)) on net lmmi_rdata_o_4 (in view: work.gpio0_ipgen_lscc_gpio_Z7_layer2(verilog)) has its enable tied to GND.
@N: MO111 :"c:\ecad\fpga_designs\lattice_propel_workspace\bhasa_fw\bhasa_zero\bhasa_zero\lib\latticesemi.com\ip\gpio0\1.6.1\rtl\gpio0.v":530:36:530:47|Tristate driver lmmi_rdata_o_5 (in view: work.gpio0_ipgen_lscc_gpio_Z7_layer2(verilog)) on net lmmi_rdata_o_5 (in view: work.gpio0_ipgen_lscc_gpio_Z7_layer2(verilog)) has its enable tied to GND.
@N: MO111 :"c:\ecad\fpga_designs\lattice_propel_workspace\bhasa_fw\bhasa_zero\bhasa_zero\lib\latticesemi.com\ip\gpio0\1.6.1\rtl\gpio0.v":530:36:530:47|Tristate driver lmmi_rdata_o_6 (in view: work.gpio0_ipgen_lscc_gpio_Z7_layer2(verilog)) on net lmmi_rdata_o_6 (in view: work.gpio0_ipgen_lscc_gpio_Z7_layer2(verilog)) has its enable tied to GND.
@N: MO111 :"c:\ecad\fpga_designs\lattice_propel_workspace\bhasa_fw\bhasa_zero\bhasa_zero\lib\latticesemi.com\ip\gpio0\1.6.1\rtl\gpio0.v":530:36:530:47|Tristate driver lmmi_rdata_o_7 (in view: work.gpio0_ipgen_lscc_gpio_Z7_layer2(verilog)) on net lmmi_rdata_o_7 (in view: work.gpio0_ipgen_lscc_gpio_Z7_layer2(verilog)) has its enable tied to GND.
@N: MO111 :"c:\ecad\fpga_designs\lattice_propel_workspace\bhasa_fw\bhasa_zero\bhasa_zero\lib\latticesemi.com\ip\gpio0\1.6.1\rtl\gpio0.v":530:36:530:47|Tristate driver lmmi_rdata_o_8 (in view: work.gpio0_ipgen_lscc_gpio_Z7_layer2(verilog)) on net lmmi_rdata_o_8 (in view: work.gpio0_ipgen_lscc_gpio_Z7_layer2(verilog)) has its enable tied to GND.
@N: BN362 :"c:\ecad\fpga_designs\lattice_propel_workspace\bhasa_fw\bhasa_zero\bhasa_zero\lib\latticesemi.com\ip\gpio0\1.6.1\rtl\gpio0.v":321:16:321:21|Removing sequential instance gpio0_inst.lscc_gpio_inst.genblk2\.lscc_apb2lmmi_0.genblk1\.lmmi_offset_o[1] (in view: work.bhasa_zero(bhasa_zero)) because it does not drive other instances.
@N: BN362 :"c:\ecad\fpga_designs\lattice_propel_workspace\bhasa_fw\bhasa_zero\bhasa_zero\lib\latticesemi.com\ip\gpio0\1.6.1\rtl\gpio0.v":321:16:321:21|Removing sequential instance gpio0_inst.lscc_gpio_inst.genblk2\.lscc_apb2lmmi_0.genblk1\.lmmi_offset_o[0] (in view: work.bhasa_zero(bhasa_zero)) because it does not drive other instances.
@N: MO231 :"c:\ecad\fpga_designs\lattice_propel_workspace\bhasa_fw\bhasa_zero\bhasa_zero\lib\latticesemi.com\ip\uart0\1.3.0\rtl\uart0.v":1590:4:1590:9|Found counter in view:work.uart0_ipgen_lscc_uart_rxcver_8s_0s_5s_1_2_4_8_16_MachXO3D(verilog) instance databit_recved_num[3:0] 
@N: MO231 :"c:\ecad\fpga_designs\lattice_propel_workspace\bhasa_fw\bhasa_zero\bhasa_zero\lib\latticesemi.com\ip\uart0\1.3.0\rtl\uart0.v":1590:4:1590:9|Found counter in view:work.uart0_ipgen_lscc_uart_rxcver_8s_0s_5s_1_2_4_8_16_MachXO3D(verilog) instance counter[15:0] 
@N: MF179 :"c:\ecad\fpga_designs\lattice_propel_workspace\bhasa_fw\bhasa_zero\bhasa_zero\lib\latticesemi.com\ip\uart0\1.3.0\rtl\uart0.v":1448:31:1448:51|Found 16 by 16 bit equality operator ('==') counter_eq_div_2 (in view: work.uart0_ipgen_lscc_uart_rxcver_8s_0s_5s_1_2_4_8_16_MachXO3D(verilog))
@N: MO231 :"c:\ecad\fpga_designs\lattice_propel_workspace\bhasa_fw\bhasa_zero\bhasa_zero\lib\latticesemi.com\ip\uart0\1.3.0\rtl\uart0.v":2253:16:2253:21|Found counter in view:work.uart0_ipgen_lscc_uart_txmitt_8s_0s_7s_1_2_4_8_16_32_64(verilog) instance nfifo_fsm\.counter[15:0] 
